sepID,eventTime,instruments,submissionTime,versionId,link,linkedEvents,sentNotifications
2010-08-14T12:30:00-SEP-001,2010-08-14T12:30Z,[{'displayName': 'GOES13: SEM/EPS >10 MeV'}],2013-07-18T19:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/734/-1,"[{'activityID': '2010-08-14T09:38:00-FLR-001'}, {'activityID': '2010-08-14T10:12:00-CME-001'}]","[{'messageID': '20100814-AL-001', 'messageIssueTime': '2010-08-14T12:50Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/735/1'}]"
2011-03-07T18:00:00-SEP-001,2011-03-07T18:00Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2013-07-18T19:04Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/701/-1,[{'activityID': '2011-03-07T14:40:00-CME-001'}],"[{'messageID': '20110308-AL-001', 'messageIssueTime': '2011-03-08T01:37Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/704/1'}]"
2011-03-08T01:00:00-SEP-001,2011-03-08T01:00Z,[{'displayName': 'STEREO B: IMPACT 13-100 MeV'}],2013-07-18T19:05Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/706/-1,[{'activityID': '2011-03-07T20:12:00-CME-001'}],"[{'messageID': '20110308-AL-001', 'messageIssueTime': '2011-03-08T01:37Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/707/1'}]"
2011-03-08T01:05:00-SEP-001,2011-03-08T01:05Z,[{'displayName': 'GOES13: SEM/EPS >10 MeV'}],2013-07-18T18:52Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/691/-1,[{'activityID': '2011-03-07T20:12:00-CME-001'}],"[{'messageID': '20110308-AL-001', 'messageIssueTime': '2011-03-08T01:37Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/699/1'}]"
2011-03-20T18:00:00-SEP-001,2011-03-20T18:00Z,[{'displayName': 'STEREO B: IMPACT 13-100 MeV'}],2013-07-18T20:27Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/766/-1,[{'activityID': '2011-03-21T02:54:00-CME-001'}],"[{'messageID': '20110321-AL-001', 'messageIssueTime': '2011-03-21T11:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/767/1'}]"
2011-03-21T08:00:00-SEP-001,2011-03-21T08:00Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2013-07-18T20:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/768/-1,[{'activityID': '2011-03-21T02:54:00-CME-001'}],"[{'messageID': '20110321-AL-001', 'messageIssueTime': '2011-03-21T11:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/770/1'}]"
2011-03-21T11:10:00-SEP-001,2011-03-21T11:10Z,[{'displayName': 'GOES13: SEM/EPS >10 MeV'}],2013-07-18T20:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/772/-1,[{'activityID': '2011-03-21T02:54:00-CME-001'}],"[{'messageID': '20110321-AL-001', 'messageIssueTime': '2011-03-21T11:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/774/1'}]"
2011-03-21T19:40:00-SEP-001,2011-03-21T19:40Z,[{'displayName': 'GOES13: SEM/EPS >10 MeV'}],2013-07-18T20:38Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/781/-1,[{'activityID': '2011-03-21T02:54:00-CME-001'}],"[{'messageID': '20110321-AL-004', 'messageIssueTime': '2011-03-21T20:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/782/1'}]"
2011-06-04T04:00:00-SEP-001,2011-06-04T04:00Z,[{'displayName': 'STEREO A: IMPACT 13-100 MeV'}],2013-07-19T14:17Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/877/-1,[{'activityID': '2011-06-04T07:09:00-CME-001'}],"[{'messageID': '20110604-AL-002', 'messageIssueTime': '2011-06-04T13:24Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/878/1'}, {'messageID': '20110604-AL-001', 'messageIssueTime': '2011-06-04T13:00Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/879/1'}]"
2011-06-07T08:25:00-SEP-001,2011-06-07T08:25Z,[{'displayName': 'GOES13: SEM/EPS >10 MeV'}],2013-07-19T14:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/888/-1,"[{'activityID': '2011-06-07T06:16:00-FLR-001'}, {'activityID': '2011-06-07T06:50:00-CME-001'}]","[{'messageID': '20110607-AL-001', 'messageIssueTime': '2011-06-07T11:49Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/889/1'}]"
